full_text,username,created_at
I don't know what to comment  I want to use gender studies  I can defend this anonymous account  I want to use meaning analysis  I can defend the accused perpetrator  so what do you do  hahaha  I just want to remember the UNY case  so be more careful in analyzing the sip ntap,ayunda_NF,Thu May 16 20:05:08 +0000 2024
With the Aceh Youth Trust program  they will receive a lot of useful training so that they can increase their independence  competence and professionalism to become young entrepreneurs ,iezmawatie,Thu May 16 20:04:12 +0000 2024
The fact is that money politics is allowed to run rampant in the 2024 elections  which requires firm and fair action against all perpetrators of money politics,Ex_TKI,Thu May 16 20:02:29 +0000 2024
Raids can only be controlled by your hands and it is not your right to hit the perpetrators in question  let their parents' rights be exercised  and your right is only to protect them and report them if my position is their family  I will make a fuss about the person who caused the injury ,walkingmilky,Thu May 16 19:55:26 +0000 2024
thank you  police friends  we will immediately take firm action against the perpetrators who sell subsidized fuel outside the Sragen police area for further information  wa center 62 8877110110  thank you  greetings precision,polres_sragen_,Thu May 16 19:49:22 +0000 2024
The first chapter of the 8 perpetrators admitted that there were 3 other perpetrators who had not been caught  but after appearing before the judge  the 8 perpetrators did not talk about the 3 perpetrators who are still in the dpo until now source Hotman Paris,ciut_wisnu,Thu May 16 19:45:43 +0000 2024
politics  almost two years after the murder perpetrator  there is still no clarity on the police's ongoing investigation but they have never determined whether the suspect is working or not ,undipmenfess,Thu May 16 19:41:29 +0000 2024
Sole perpetrator charged in slovak pm shooting indicted,infoinajahh,Thu May 16 19:39:10 +0000 2024
how can the perpetrator who escaped has been living peacefully until now,yoOwges,Thu May 16 18:46:39 +0000 2024
Except for domestic violence perpetrators  since college  I have promised myself that I will always intervene  even if I don't ask,ImaIsBack,Thu May 16 18:45:31 +0000 2024
The UU IT rubber article was created during Bu Mga's era and passed during the SBY era to ensnare perpetrators of digital-based fraud  After the SBY era  UU IT became a scourge  UU IT was used for revenge and was used by strange people like the photo above ,demonhadess,Thu May 16 18:37:29 +0000 2024
Victim of car window throwing appreciation to Medan Baru Police for arresting perpetrator,ArahindonesiaTV,Thu May 16 18:34:10 +0000 2024
The difficulty of the police finding the three fugitives in the Vina murder case is indeed exciting  even though the eight perpetrators have been caught  the other three are still free and are suspected of hiding in Jakarta under new identities ,pragibs_,Thu May 16 18:33:44 +0000 2024
uphold justice for Vina  please pay attention to the National Police Chief and his staff and all the Indonesian people to find the 3 perpetrators of the 8 year dpo who have not been caught ,MCH_Nine,Thu May 16 18:32:46 +0000 2024
Never mind  news like this doesn't need to be reported anymore  Children copying other murderers are embedded in their brains so they become curious until they kill someone criminal ,delisocious,Thu May 16 18:32:34 +0000 2024
Vina is so sorry  God  you can't imagine the pain of being tortured like that once before you die  I hope the perpetrator lives in peace for the rest of his life,hikemma,Thu May 16 18:30:27 +0000 2024
In my opinion  with this film  the case will be brought up again  which is unfair  I think the family has also tried to seek justice but the results have been to no avail  With this film  the case can be processed again  I'm sure the three perpetrators will be caught ,putriAh57487358,Thu May 16 18:30:19 +0000 2024
Wow  expose this father so that he can feel the one who covered up the perpetrator,momo_zeanx,Thu May 16 18:26:39 +0000 2024
Until now  the case has been closed for 2 years  more than an indication that the perpetrator has not been found  until now it is still being updated in the Semarang city information media in the FB group ,Sannzztyz,Thu May 16 18:22:37 +0000 2024
Every day I always hear about the progress of Vina's case  Thank God  the case is being handled by a top lawyer like Mr  Hotman  Hopefully the 3 perpetrators will be caught soon ,rrgaditya,Thu May 16 18:20:12 +0000 2024
Yes  bro  he still eats hoaxes as if he were the main perpetrator,Xerozz272931,Thu May 16 18:14:14 +0000 2024
perpetrators of sexual harassment fraud have been playing games on VCS services  Let's spread the word about this person so that this person's close relatives and family know the behavior of his perverted brain  Amerta Ketum Icang ,fortuncte,Thu May 16 18:13:19 +0000 2024
It's really scary  I hope the perpetrator doesn't live in peace forever,caapila,Thu May 16 18:11:44 +0000 2024
pelaku yang berlagak sebagai korban narsis psikopat ini ngerinya punya senjata nuklir dan siap melakukan opsi samson,SohibCamp4,Thu May 16 18:04:19 +0000 2024
The perpetrator who pretends to be the victim of a narcissistic psychopath is horrified that he has nuclear weapons and is ready to carry out the Samson option,jstnvm_,Thu May 16 18:04:07 +0000 2024
Bareskrim Polri joins the hunt for three fugitive perpetrators of the Cirebon Vina murder  The release of the film Vina before 7 days seems to reopen the mystery of the Vina and Eky murder case in the city of Cirebon  West Java in 2016 ,tvOneNews,Thu May 16 18:02:35 +0000 2024
Tangsel Police are complicated after the rape case of a girl has stalled for 2 years  Ma  who is now 17 years old  is the victim of rape by a perpetrator named Holid at Pondok Kacang Barat  Pondok Aren  South Tangerang City  Tangsel ,tvOneNews,Thu May 16 18:02:34 +0000 2024
police shoot three of four perpetrators of a sadistic robbery gang in Bogor,AdjetLazua15595,Thu May 16 17:55:45 +0000 2024
If you don't reply to my chat  this is definitely a slip-up with the potential new perpetrator  who is actually the victim,likeuthemost,Thu May 16 17:54:03 +0000 2024
It's just that because of this film  the case has become even more viral now  sis  who knows  netizens will be able to reveal the perpetrator  surely the family also wants justice for the deceased  what's important is Alfatihah for the deceased  ka,Milkice_03,Thu May 16 17:50:59 +0000 2024
Seriously  that's why it's really annoying and the perpetrator of the stalking is on Twitter and was in a TV interview  the last time I found out  I hope it's in line with what you watch  bro ,swansbell,Thu May 16 17:50:27 +0000 2024
Until now  the crime case of Vina Caribon  West Java  has not been fully revealed because this country cannot reveal this case  The perpetrators of the murder and rape attacks have not been caught yet  Where is the justice in this country?,AgungHa12294,Thu May 16 17:49:24 +0000 2024
If it's about ghosts  maybe they made it because in the viral recording  the friend who was possessed knew that the perpetrator wanted to run away to Jakarta because the person who wanted to make the film doesn't know where he came from when he found out that someone had run away to Jakarta  maybe it was made like that  but it's still just an opinion ,Milkice_03,Thu May 16 17:48:59 +0000 2024
After reading the translation  it was a bit scary  I think it's an indication of potential mental disorders  I also saw that many reps were blaspheming his account because he was up by a dangerously obsessed perpetrator  Don't do anything reckless  Stay safe  bro ,incredibroX,Thu May 16 17:48:20 +0000 2024
The film is really unethical even though Vina is the victim and the real perpetrator has not been found but it is being exploited  The story of the harassment scene is very clear and in the film Vina is even made into a terrorizing ghost and also the original voice recording of Vina being harassed is shown at the end of the film ,zoyalenski,Thu May 16 17:41:18 +0000 2024
I wonder if the mastermind behind the murder is holding tricks that are really making a loss  bro,claudiahierari,Thu May 16 17:40:28 +0000 2024
hello to one of the names included in the following thread and also several people whose faces are also included in the screenshots in my thread  They have nothing to do with the perpetrator at all ,8vvrxrvqk5,Thu May 16 17:40:27 +0000 2024
If you look at his behavior  we all agree that this perpetrator is crazy  At first he was probably afraid because it went viral  but to cover up his fear  there is a possibility that he could be reckless and it would be a risk for his sister  First of all  look for assistance first  Once it goes viral  it will definitely be over ,Kuuciiing_,Thu May 16 17:38:05 +0000 2024
It went viral until the perpetrator was heard to be traumatized and died  haunted by the incident,helehtakpenting,Thu May 16 17:36:46 +0000 2024
It's cool that the police can be firm in their work against intolerant perpetrators,MeigySyah26502,Thu May 16 17:34:40 +0000 2024
The case of the disappearance of the Chairman's Pon Monument prompted Riau to pledge IDR 100 million to the finder of the perpetrator who destroyed it,JabarYeuh,Thu May 16 17:30:20 +0000 2024
We are not able to arrest the perpetrators in 2016,sukongowo,Thu May 16 17:29:36 +0000 2024
annoying video  the actor is small but the employee has a big body but can't kickass the 610 cameraman,MilanOutLoud,Thu May 16 17:29:20 +0000 2024
Images created by Islam to bring down Christians Wow  your trash accounts have been popping up a lot since the arrests of the perpetrators of the massive church dissolution were made and another one with your dirty mouth like this can really make people convert to Islam ,indo_mie13,Thu May 16 17:05:38 +0000 2024
Vina's case was brought back after 8 years of speed bumps  The only thing I'm worried about is that if the police are pushed like this  there's a possibility that the wrong perpetrator will be caught  My hope is that the real perpetrator will be caught ,shiningyeay,Thu May 16 17:03:05 +0000 2024
Indeed  the case was deliberately dismissed because 1 perpetrator was being covered up,Amran_bin_Al,Thu May 16 17:02:11 +0000 2024
You buzzer  the perpetrator seems to have no brain  Just think  the case has been going on for 8 years  3 people haven't been arrested  what's the end if the intention is to be prosecuted legally because it is protected?,UmatEkonom84976,Thu May 16 17:02:06 +0000 2024
On the news Friday night  there was a murder of a mosque imam who was stabbed to death while performing his ablutions while the perpetrator ran away,panturarayacom,Thu May 16 16:57:10 +0000 2024
In my opinion  because doctors as practitioners of healing teach the object that humans don't know they have a headache,weraone12,Thu May 16 16:54:42 +0000 2024
I personally don't like the horror part because Vina's story before 7 days is really sad  wow  I hope Egy and the other 2 perpetrators are caught quickly  even though it will take a long time because Egy's father is a police officer  so it's definitely going to be hard to find them ,sweat_avocado,Thu May 16 16:54:11 +0000 2024
The complexity of the photo of the main perpetrator of this murder can actually be cleared up in one way  Ms  Linda  please bring it to the surface  This Vina case is the only one that happened in a film but was investigated in the real world ,Aliemoen,Thu May 16 16:53:21 +0000 2024
Don't let Vina's case become a Subang case  Immediately arrest the perpetrator and sentence him to death because it is included in the category of sadistic acts and the family of the police who protected him were immediately fired with no honor ,secret_Govermen,Thu May 16 16:51:25 +0000 2024
There was a classmate who made fun of the religion teacher when he passed in front of the class and was heard talking to the teacher and the perpetrator didn't want to admit it  As a result  the class was told to go in to apologize to him  There was a warning from all the teachers who taught all week long ,Jannah_58,Thu May 16 16:50:51 +0000 2024
yesterday it was said that if the victim fights the perpetrator and the perpetrator dies  it can't be said that he was defending himself  Now  the victim of abuse by officials from the Transportation Department is even thought to be the perpetrator who hopes that high school students will be educated for 6 months to become police  and sometimes there are people who bribe them with money ,Yoerikoe,Thu May 16 16:50:39 +0000 2024
murder case of mother and child Amelia Su Bang  the real perpetrator has not yet been caught in the murder of civil servants in Marina Semarang  the transition victim  the witness in the corruption case  the perpetrator is free  maybe the perpetrator is one of the Dismrg officials,Hardianto_AB,Thu May 16 16:50:06 +0000 2024
What's interesting to read is that this book tells the story of a woman who felt that her daughter's death was odd and she found four perpetrators who were students where she worked  In essence  the female character wanted revenge against the four perpetrators ,bbibiiuu,Thu May 16 16:49:11 +0000 2024
Hey bro  murder cases are also related to supernatural things  for example the murderer surrendered because he was haunted by the victim  Try if you are not haunted by the perpetrator  you are still free ,Hardianto_AB,Thu May 16 16:48:09 +0000 2024
Most people play TikTok  that's why cases like this don't get resolved  What work do you do for playing TikTok? It doesn't take 8 years  If you're serious  sir  there are perpetrators who have been arrested  sir  just ask them  If they don't admit it  pull out their nails until they confess  It's better to understand uncovering the case ,IamStrong731,Thu May 16 16:45:40 +0000 2024
The perpetrator of the baby dumping in the fish pond was revealed to be a vocational school student in Central Lampung,Beritasatu,Thu May 16 16:42:35 +0000 2024
must be more stringent with full support from the Attorney General's Office to clean up all perpetrators of corruption,zaramandanrl9,Thu May 16 16:42:13 +0000 2024
Oh  so he's the culprit who made my Indihome internet slow,lsrief,Thu May 16 16:41:28 +0000 2024
After checking the IG TikTok which has a photo that is not Indonesian  the perpetrator used his photo to lie to you  be patient  next time be more careful in trusting new people  be sincere  hopefully your fortune will be replaced many times over ,alyssachilly,Thu May 16 16:40:57 +0000 2024
police shot dead one of the thieves of Satrio Mukti Raharjo  18 prospective police non-commissioned officer chassis students on Jalan Arjuna  Kebon Jeruk  West Jakarta on Saturday  May 11  2024 ,tvrinewscom,Thu May 16 16:36:46 +0000 2024
This is really true  many perpetrators like to be unaware of what they themselves have done  I am one of the witnesses and victims  but that doesn't cover the fact that there are still many people who lack mental education so they can't be aware of their surroundings ,noobielen,Thu May 16 16:35:39 +0000 2024
there  the cast was put in the sewer  the barrel was put in  we found the perpetrator has been identified  also here  in fact  the Akseyna UI case and Vina DPO case  8 years old  haven't been found yet  on my Indonesia,baksocious,Thu May 16 16:34:44 +0000 2024
but when I read the perpetrator's tweets  I felt more pitiful because I'm also learning to be a mother and often read that a child's character is influenced by his parents  so I thought he was obsessed because he was given 5 thousand in cash when he was in middle school and his friend was lonely and didn't have enough love ,sariggonedum,Thu May 16 16:34:13 +0000 2024
spill the main perpetrator,jwnuxh,Thu May 16 16:33:50 +0000 2024
Kinda funny to imagine that the main perpetrator was parked haphazardly and watched them fight in the UI forest tonight while grinning,aluvla,Thu May 16 16:32:56 +0000 2024
"I was coming home from college  passing by a group of elementary school children  when I arrived in front of them  one of them was shouting kiw kiw  At first they laughed until they saw Nana's reaction  they just kept quiet and glanced at the perpetrator  then after Nana had walked a little distance  she said  ""Kk  that's not polite  you know?""",MysteryOfEterni,Thu May 16 16:32:44 +0000 2024
Cliff police arrest 1 perpetrator of theft under the top of Lake Riau,batamtoday,Thu May 16 16:31:50 +0000 2024
Vina  may there be peace in nature  hopefully the perpetrators who have not yet been caught will be caught quickly,jagadooR,Thu May 16 16:30:53 +0000 2024
In my opinion  Vina's film reminds of the incident in this film where a child became a victim of sexual violence and was hanged from a tree and thrown away  Interestingly  the legal process is not the perpetrator but the victim's father because he managed to kill him before the trial process,mohaverr,Thu May 16 16:30:07 +0000 2024
Indonesia has a restraining order but only for cases where I have never met and made a report for people like this who are stalking and chasing  they can be threatened but there has to be a clear message from the perpetrator  otherwise it's really difficult ,reinhardsanden,Thu May 16 16:29:42 +0000 2024
It's an indication of fabrication because the 5 people who are serving time don't know the 3 perpetrators who escaped  according to the lawyer  The 5 people who were convicted were clients  At the time of the incident  they were standing at home  1km away from the crime scene  On TVone  they confronted the Cirebon Police  but the connection ended up being disconnected ,elleanor12,Thu May 16 16:28:47 +0000 2024
It could be that the three fugitives have been killed or the position of the main perpetrator is higher than that of Eki's father  who is a police officer,Dewiino24,Thu May 16 16:26:35 +0000 2024
even though there is Ms  Nana at UGM at Ikopin  there is Ms  Heira and there are many more who have definitely not joined my party or have not been invited to live in the cooperative as well as Ms  Yani  the chairman of the Aquarium Village Cooperative  Ms  Eny JRMK,sk8rboyseeul8r,Thu May 16 16:26:31 +0000 2024
wanted to flee to Bali  Mojokerto motorbike thief was arrested in Purabaya  Mojokerto  one perpetrator of motor vehicle theft managed to escape with goods via,beritajatimcom,Thu May 16 16:26:07 +0000 2024
he said the perpetrator was autism,Vani_la123,Thu May 16 16:25:26 +0000 2024
Wow  the hunt for the perpetrator of the late Vina's murder is getting more and more exciting  Indonesian netizens  if something like this can be done  I really hope that the perpetrator is caught as a barbarian  really  because it's really nice to be able to kill and rape people  but for 8 years you can still go anywhere  you have to go to jail this year ,do__mifasol,Thu May 16 16:25:04 +0000 2024
The behavior of this student was quite sadistic  the perpetrator had the heart to stab the ustazah to death  This incident occurred at the Islamic boarding school on Jalan Danau Rangas  Palangkaraya  Central Kalimantan  Central Kalimantan ,serambinews,Thu May 16 16:24:59 +0000 2024
So I'm confused why you haven't been arrested yet  even though the other 8 people have already been arrested  but these 3 perpetrators haven't been arrested because they made a film  it went viral and then the case was reopened ,Jawara1945,Thu May 16 16:24:06 +0000 2024
who is the backing of the motorbike gang and the backing of the 3 rape murder perpetrators who have been on the run since 2016 until now,penjagadapur,Thu May 16 16:23:53 +0000 2024
The perpetrator who made me thrown down by my mother for screaming,loveudokyeom,Thu May 16 16:23:40 +0000 2024
This depraved grandfather  a 71 year old grandfather  was desperate to molest an underage girl in North Sumatra  The perpetrator admitted that he had had sexual intercourse with the victim  who was his own granddaughter  10 times on an oil palm plantation ,serambinews,Thu May 16 16:23:39 +0000 2024
New facts about the Vina Cirebon murder case are that the perpetrator was the first person to inform the family about the death of the victim,klikaktual,Thu May 16 16:20:53 +0000 2024
murder and rape cases  cases from 2016 but until now there are still perpetrators who have not been caught,Jawara1945,Thu May 16 16:20:52 +0000 2024
The cunning method of the perpetrator of the viral robbery in Tajur Bogor has been revealed  the victim's car was equipped with GPS from the start,AlienBali,Thu May 16 16:20:11 +0000 2024
Revealing the irregularities in the sentence of the perpetrator who murdered Vina Cirebon  who has been released even though the sentence has not been completed,AlienBali,Thu May 16 16:20:09 +0000 2024
Garut Police Criminal Investigation Unit arrests 3 perpetrators of theft breaking news,tarungnews2,Thu May 16 16:18:04 +0000 2024
Amen  hopefully the perpetrator will be caught quickly  best wishes for the good people,day_sun34,Thu May 16 16:17:49 +0000 2024
hello  if you still forgot  Coho is a problematic enabler  my son is the perpetrator  and when the victim complains  Coho actually blocks him  if you don't know  look for information first  okay?,writtenisa,Thu May 16 16:17:46 +0000 2024
I'm the typical person who will tell the perpetrator to find out why he did it,humanmukabumi,Thu May 16 16:17:35 +0000 2024
Looking for the perpetrator  if the victim is MD  is usually quicker to get clues from smart people  There's something different,Nofafifu_,Thu May 16 16:17:06 +0000 2024
But I'm also a perpetrator of the silent treatment,reacityclub,Thu May 16 16:16:55 +0000 2024
The owner of an exorbitant ground coffee business was stabbed to death by the perpetrator of the theft after he discovered the theft at his house  After the stabbing  the perpetrator hid at his grandmother's house ,iNewsPlg,Thu May 16 16:16:33 +0000 2024
I'm the type of person who  if hurt  prefers to remain silent  I can't even tell the person closest to me  especially here  I feel alienated  which means there's a possibility that after he's honest  Fatih Salim Gio's response will be like we're already strangers  right?,yourraiin,Thu May 16 16:14:05 +0000 2024
8 years have passed  3 new perpetrators have been dpo  what have you been doing for these 8 years  uncle hahaha,nawaderring,Thu May 16 16:13:15 +0000 2024
My late father really loved my late mother  even though they didn't work in the afternoons  they often played the piano and sang together  like people who were dating  My father defended my mother who didn't work  My mother was a household economist  My mother worked after my father died ,AriskaPutraS,Thu May 16 16:11:44 +0000 2024
The Zionists don't know  but they are my enablers because their children are the perpetrators,isagyis,Thu May 16 16:08:15 +0000 2024
I'm one of the exes  thank God  Allah still loves me  everything was almost destroyed  career  family  economics  health  etc  The family must be tough and firm towards perpetrators of judol 1  Keep the judol device away from him  cell phone  computer  2 strengthen himself with religion  3 monitor his friendships,Belajarpolitik5,Thu May 16 16:08:11 +0000 2024
This is the role of the 5 perpetrators of the National Police NCO chassis robbery in Kebon Jeruk,Beritasatu,Thu May 16 16:07:06 +0000 2024
Ojol Medan arrests the perpetrator of the crime,Masteng7103,Thu May 16 16:06:40 +0000 2024
Netizens who demolished the Facebook account of the main perpetrator in the Cirebon Vina case wrote a status like this,OposisiCerdas,Thu May 16 16:06:25 +0000 2024
go to his house  meet his family  discuss the problem  if there is no response from the family or there is no change from the perpetrator  threaten to report it as an unpleasant act,sufi69fitriani,Thu May 16 16:05:31 +0000 2024
mother and child in Tangerang caught distributing fake money  the alleged perpetrator confessed,arahkitamedia_,Thu May 16 16:04:48 +0000 2024
It's really scary  the perpetrator should have become a psychiatric patient  he could have been treated now  this has traumatized the victim and has the potential to cause physical harm as well ,saritjiang,Thu May 16 16:04:18 +0000 2024
Some of the perpetrators of digital traces have been caught  none of them are members of the gang  there is no structure  in fact there is help from Jinn  the case has been going on for years until now  I just say it's difficult ,bian_sober,Thu May 16 16:04:17 +0000 2024
shooting PM Slovakia  a 71 year old perpetrator was arrested,tempodotco,Thu May 16 16:03:20 +0000 2024
Yes  but apart from that  there are already security officers or not  TJ Duren has always been very prone to theft  several syndicates of the perpetrators were caught  they are still from here too  they are just from different gangs  they just come back to each other  just have to be extra careful in the future  don't let it happen again ,dwhandayani1,Thu May 16 16:02:57 +0000 2024
Because there is no photo of the perpetrator  tomorrow I will ask random people to see if he killed Vina,dewitobrut,Thu May 16 16:02:43 +0000 2024
Wow  this is what this brother's friend told him about by the director or the director was told about it by his brother's friend,kkpunasional,Thu May 16 16:02:20 +0000 2024
Way Serdang police reveal perpetrator of cheating as a repeat criminal,deni4579,Thu May 16 15:29:47 +0000 2024
After going viral again  West Java Regional Police released 3 perpetrators of the murder and rape of Vina Dewi Arsita and her lover  M Rizky Rudian or Eki  even though it happened in August 2016  this tragic incident has not been solved ,aan_media,Thu May 16 15:29:15 +0000 2024
After reading this  the perpetrator's actions can be reported to the police,duakomaaa,Thu May 16 15:29:11 +0000 2024
there are  but not just anyone can find someone who sells this data  You know  buying and selling data like that will go to Cyduk  There was a free one  At that time  the data was leaked from the perpetrator of Bjorka  but I haven't had time to download it  the link is gone  it says it's valid ,DeraOyy,Thu May 16 15:28:12 +0000 2024
Here  bro  there is an interview with the perpetrator of the invasion at that time  hahaha,TAU19FIQ,Thu May 16 15:28:07 +0000 2024
Every semester I am put in trouble where the perpetrator is not me  I mean  why am I the one accused?,matchapuffyy,Thu May 16 15:28:02 +0000 2024
hello  vice president elected  this is an insult to the martabak maker  who in fact is a small businessman  if you let him tell your brother-in-law  boby isn't right  this is his subordinate ,davinci88478479,Thu May 16 15:28:02 +0000 2024
This film is quite good  but I can't bear to be with the late Vina  Al Fatehah for the late Vina  the main perpetrator was immediately caught and punished severely,Desy9292,Thu May 16 15:27:53 +0000 2024
The perpetrator of stealing 40 sacks of Bulog rice was successfully arrested by West Metro Police personnel,tintainformasi,Thu May 16 15:26:05 +0000 2024
Police chassis was robbed in Kebon Jeruk  one of the main perpetrators was shot dead,apakabarcoid,Thu May 16 15:25:37 +0000 2024
I was shocked when I read the perpetrator's tweet  it was really scary  I really got goosebumps  tweeting for years discussing just one person and his obsession with imagining having a relationship with the victim  imagining the kindness of the person in reply  even though it's like this  it's not really healthy for his soul and mind ,eivamsti,Thu May 16 15:25:23 +0000 2024
dealer of methamphetamine narcotics in Sidomulyo in Ciduk  Bari Bawah Police  NusantaraExpress  Labuhanbatu  Head of Criminal Investigation Unit  Blade  Downstream Police  IPDA  Manalu Sh  together with his opsal team  succeeded in arresting the perpetrator of the drug dealer of the type of methamphetamine with the initials Min ,MEDIAEXPGROUP,Thu May 16 15:24:41 +0000 2024
This is what needs to be corrected  even though if we both fight together  it can definitely make the perpetrator not dare to do the same thing again,peortonto,Thu May 16 15:22:46 +0000 2024
ke 8 tersangka ngak mu gkin ngak ada  yang  tau ke 3 pelaku nama dllth 2016 hp kamera sudah ada dan rata2 mampu pasti beli hp8 th bukan waktu  yang  sebentarsemoga bapak2 kepolisian cepat menangkap 3 pelakunyasemoga dapat perhatian dari bapak kapolri,Waode0803,Thu May 16 15:22:29 +0000 2024
No one knows the 8 suspects  no one knows the names of the 3 perpetrators  etc  In 2016  camera cellphones already exist and the average person can afford it  Surely buying a cellphone in 8 years is not a short time  I hope the police will catch the 3 perpetrators quickly  I hope they will get the attention of the National Police Chief ,Red13Maxi,Thu May 16 15:22:08 +0000 2024
Ratu Talisha reveals that the perpetrator of Vina Cirebon's murder was deliberately not arrested,OposisiCerdas,Thu May 16 15:21:15 +0000 2024
by ur logic 99 perpetrators who violate traffic rules are allowed to bribe the police and the police just understand that if someone bribes them then the act of bribery and corruption can continue only because the police understand how Indonesia wants to progress  Indonesia is worried about 2045,LegallyAgent,Thu May 16 15:20:14 +0000 2024
A young husband and wife were caught hanging around at the Alfamart on Jalan Raya Lenteng Agung  This afternoon  the two perpetrators were immediately surrounded and interrogated by local residents at the crime scene ,KepaArgawinata7,Thu May 16 15:19:13 +0000 2024
The incident that happened to him should not have happened and I urge the authorities to take firm action and impose appropriate punishment on the perpetrator  We want justice for Masayaitah's younger brother ,AdamAdli,Thu May 16 15:19:09 +0000 2024
group of teenagers threw alcohol bottles and firecrackers at one of Yogya City's vocational schools  Police are investigating the perpetrator of the alleged attack by a group of teenagers that occurred at a state vocational high school located in Cokrodiningratan sub-district ,tvOneNews,Thu May 16 15:04:16 +0000 2024
even though you just have to ask the suspect who has been arrested or not who the main perpetrator is,amoredja,Thu May 16 15:04:11 +0000 2024
You're dead  the 3 perpetrators who are on the run  I'm sure from the start of the film in the cinema  the perpetrators couldn't sleep soundly hahaha  take note of my words ,Pandawarman3,Thu May 16 15:03:46 +0000 2024
Yes  but the voice recording when Vina's friend was possessed as a way to open the case is said to be one of the perpetrators of a silop child  you know ,GubernurG5,Thu May 16 15:03:39 +0000 2024
1 in the middle of the school and the father of the perpetrator's child won the rank and utowo lost the rank to the police chief who served as Saiki 2 to the family of the perpetrator,RachmanWahyuA,Thu May 16 15:03:28 +0000 2024
The main perpetrator who robbed prospective police non-commissioned officer students was shot dead by police officers because he resisted while being detained  The other two were shot in the legs while running away  said the Head of Sub-Directorate for Jatanras  Ditreskrimum Polda Metro Jaya  AKBP Rovan Richard ,RadioElshinta,Thu May 16 15:02:27 +0000 2024
I don't know who reported it or not  but from my friend's story  the perpetrator saw a photo in his report where the photo was taken from the window of my friend's boarding room on the 2nd floor  so the perpetrator immediately knew where he took it from ,feblistiawan,Thu May 16 15:02:04 +0000 2024
the perpetrator had a problem with pkbh  si b was working at pkbh and then the perpetrator bumped into b  who had just left pkbh  the point is  but the relationship between the perpetrator and b is still unclear imo,dibawahpressure,Thu May 16 15:01:48 +0000 2024
